Name,Short,Gender,Debut,Company,Members,Orig Member number,Fanclub Name,Active
TNX,,Male,17/05/2022,P NATION,6,6,THX,Yes
TOO,,Male,1/04/2020,n.CH,10,10,,Yes
ToppDogg,,Male,22/10/2013,Stardom| Hunus,5,13,ToppKlass,No
TRACER,,Female,3/04/2022,Gleamedia,4,4,,Yes
TRAX,,Male,20/07/2004,SM,2,4,,No
TRCNG,,Male,10/10/2017,TS,10,10,,No
Treasure,,Male,7/08/2020,YG,12,12,,Yes
TREI,,Male,19/02/2019,Banana,3,3,,No
TRENDZ,,Male,5/01/2022,Interpark,7,7,,Yes
TRI.BE,,Female,17/02/2021,TR - Mellow,7,7,TRUE,Yes
tripleS,,Female,13/02/2023,MODHAUS,12,24,,Yes
TST,Top Secret,Male,4/01/2017,JSL,5,7,,Yes
Turbo,,Male,6/09/1995,MBK| Turbo Co.,3,2,,Hiatus
TVXQ!,TVXQ,Male,26/12/2003,SM,2,5,Cassiopeia,Yes
TWICE,,Female,20/10/2015,JYP,9,9,Once,Yes
Two X,,Female,20/08/2012,J. Tune,4,5,,No
TXT,,Male,4/03/2019,Big Hit,5,5,,Yes
U-KISS,,Male,28/08/2008,NH Media,6,6,Kissme,Yes
UNB,,Male,7/04/2018,Unit Culture,9,9,,No
Uni.T,,Female,18/05/2018,Unit Culture,8,9,,No
Unicorn,,Female,3/09/2015,Cartoon Blue,4,5,,No
UNIQ,,Male,20/10/2014,Yuehua,5,5,Unicorn,Hiatus
UNVS,,Male,23/02/2020,CHITWN,5,5,,Yes
UP10TION,,Male,10/09/2015,TOP Media,10,10,HONEY10,Yes
VANNER,,Male,14/02/2019,VT,5,5,,Yes
Varsity,,Male,5/01/2017,GKC,12,12,,Yes
VAV,,Male,31/10/2015,A team,7,6,,Yes
Verivery,VRVR,Male,1/09/2019,Jellyfish,7,7,,Yes
VERMUDA,,Male,13/07/2017,JJJ,5,5,,Yes
VICTON,,Male,9/11/2016,Plan A,6,7,Alice,Yes
VIVIZ,,Female,9/02/2022,Big Planet Made,3,3,,Yes
VIXX,,Male,24/05/2012,Jellyfish,4,6,Starlight,Yes
VOISPER,,Male,23/02/2016,Evermore,4,4,,Yes
VROMANCE,,Male,12/06/2016,RBW,4,4,,Yes
Wable,,Female,17/02/2016,Kiwi,2,2,,Yes
Wanna One,,Male,7/08/2017,YMC,11,11,Wannable,No
Wanna.B,,Female,17/11/2014,Zenith,5,4,Ru.B,No
Wassup,,Female,7/08/2013,Mafia,7,7,,No
We Girls,,Female,31/08/2018,Afternoon,8,8,,Yes
We In The Zone,,Male,27/05/2019,Choon,5,5,,No
WE:A,,Male,29/03/2023,Madewell,4,4,,Yes
We;Na,,Female,5/09/2022,Shine E&M,4,4,mymean,Yes
Weeekly,,Female,30/07/2020,Play M,6,7,,Yes
Wei,,Male,5/10/2020,OUI,6,6,,Yes
Weki Meki,WeMe,Female,8/08/2017,Fantagio,8,8,,Yes
WEUS,,Male,3/04/2023,WEUS,7,8,,Yes
WINNER,,Male,12/08/2014,YG,4,5,Ace,Yes
WJSN,Cosmic Girls,Female,25/02/2016,Starship,10,12,Ujung,Yes
Wonder Girls,WG,Female,13/02/2007,JYP,4,5,Wonderful,No
woo!ah!,,Female,15/05/2020,NV,5,6,,Yes
WOW,,Male,8/03/2021,A.CONIC,7,7,,Yes
X:IN,,Female,11/04/2023,Escrow,5,5,,Yes
Xdinary Heroes,,Male,6/12/2021,JYP,6,6,,Yes
XEED,,Male,1/12/2022,Nature Space,3,4,GREENY,Yes
XENEX,,Male,26/02/2020,GiEok,5,5,,Yes
xikers,,Male,30/03/2023,KQ,10,10,,Yes
XODIAC,,Male,25/03/2023,One Cool Jacso,9,9,,Yes
XUM,,Female,22/09/2020,A100,3,3,AWEXUM,No
Yellow Bee,,Female,23/11/2017,Addiction,5,5,,No
YOUNITE,,Male,20/04/2022,Brand New,9,9,YOUNIZ,Yes
ZE:A,,Male,7/01/2010,Star Empire,9,9,ZE:A Style,Hiatus
